time_s,period_us
7.119999999999936,61264
7.139999999999936,60036
7.159999999999935,56245
7.179999999999935,63857
7.1999999999999345,57883
7.219999999999934,56627
7.239999999999934,59815
7.259999999999933,56957
7.279999999999933,58485
7.299999999999932,55820
7.319999999999932,56092
7.3399999999999315,54938
7.359999999999931,54912
7.379999999999931,57094
7.39999999999993,57081
7.41999999999993,55025
7.439999999999929,55238
7.459999999999929,55358
7.4799999999999285,54521
7.499999999999928,57282
7.519999999999928,56443
7.539999999999927,53291
7.559999999999927,55186
7.579999999999926,56508
7.599999999999926,53736
7.6199999999999255,52480
7.639999999999925,54716
7.659999999999925,54137
7.679999999999924,53202
7.699999999999924,53280
7.719999999999923,56048
7.739999999999923,54799
7.7599999999999225,55777
7.779999999999922,55006
7.799999999999922,54744
7.819999999999921,55205
7.839999999999921,56172
7.85999999999992,51830
7.87999999999992,54091
7.8999999999999195,51346
7.919999999999919,50879
7.939999999999919,55914
7.959999999999918,55348
7.979999999999918,54219
7.999999999999917,54577
8.019999999999918,54569
8.039999999999917,52677
8.059999999999917,51090
8.079999999999917,53752
8.099999999999916,53810
8.119999999999916,52200
8.139999999999915,50848
8.159999999999915,52897
8.179999999999914,52389
8.199999999999914,54422
8.219999999999914,49942
8.239999999999913,53624
8.259999999999913,51521
8.279999999999912,52780
8.299999999999912,56066
8.319999999999911,55711
8.339999999999911,53974
8.35999999999991,51025
8.37999999999991,51117
8.39999999999991,55256
8.41999999999991,52345
8.439999999999909,53927
8.459999999999908,51690
8.479999999999908,52305
8.499999999999908,54000
8.519999999999907,53831
8.539999999999907,55424
8.559999999999906,53434
8.579999999999906,51505
8.599999999999905,50934
8.619999999999905,52921
8.639999999999905,51940
8.659999999999904,52173
8.679999999999904,53637
8.699999999999903,49992
8.719999999999903,52689
8.739999999999903,51927
8.759999999999902,48371
8.779999999999902,53694
8.799999999999901,51242
8.8199999999999,51086
8.8399999999999,51481
8.8599999999999,54540
8.8799999999999,50648
8.899999999999899,53464
8.919999999999899,50888
8.939999999999898,52384
8.959999999999898,52448
8.979999999999897,50966
8.999999999999897,51876
9.019999999999897,53259
9.039999999999896,50308
9.059999999999896,47780
9.079999999999895,50262
9.099999999999895,51028
9.119999999999894,54039
9.139999999999894,52791
9.159999999999894,50597
9.179999999999893,53993
9.199999999999893,53359
9.219999999999892,48711
9.239999999999892,52259
9.259999999999891,51767
9.279999999999891,50392
9.29999999999989,53640
9.31999999999989,51738
9.33999999999989,52903
9.35999999999989,49599
9.379999999999889,51637
9.399999999999888,50363
9.419999999999888,48764
9.439999999999888,50107
9.459999999999887,50094
9.479999999999887,49081
9.499999999999886,53557
9.519999999999886,51847
9.539999999999885,52323
9.559999999999885,53462
9.579999999999885,49302
9.599999999999884,50378
9.619999999999884,48951
9.639999999999883,52221
9.659999999999883,51618
9.679999999999882,50947
9.699999999999882,51083
9.719999999999882,55487
9.739999999999881,53831
9.75999999999988,50760
9.77999999999988,53219
9.79999999999988,51746
9.81999999999988,52282
9.839999999999879,49649
9.859999999999879,54608
9.879999999999878,52452
9.899999999999878,52637
9.919999999999877,53025
9.939999999999877,52538
9.959999999999877,53168
9.979999999999876,51969
9.999999999999876,50586
10.019999999999875,51045
10.039999999999875,52951
10.059999999999874,52359
10.079999999999874,51246
10.099999999999874,49433
10.119999999999873,51857
10.139999999999873,50918
10.159999999999872,50990
10.179999999999872,49668
10.199999999999871,52297
10.219999999999871,51264
10.23999999999987,48705
10.25999999999987,50609
10.27999999999987,54926
10.29999999999987,51616
10.319999999999869,53055
10.339999999999868,51654
10.359999999999868,50214
10.379999999999868,51406
10.399999999999867,49740
10.419999999999867,49004
10.439999999999866,51185
10.459999999999866,51063
10.479999999999865,49750
10.499999999999865,49365
10.519999999999865,53376
10.539999999999864,50464
10.559999999999864,50329
10.579999999999863,52179
10.599999999999863,51158
10.619999999999862,50393
10.639999999999862,50332
10.659999999999862,48268
10.679999999999861,51349
10.69999999999986,54795
10.71999999999986,48928
10.73999999999986,47786
10.75999999999986,50888
10.779999999999859,51042
10.799999999999859,53096
10.819999999999858,52631
10.839999999999858,53243
10.859999999999857,50023
10.879999999999857,49308
10.899999999999856,48736
10.919999999999856,50157
10.939999999999856,50761
10.959999999999855,51873
10.979999999999855,51501
10.999999999999854,49652
11.019999999999854,51666
11.039999999999853,49468
11.059999999999853,50242
11.079999999999853,49547
11.099999999999852,51343
11.119999999999852,51665
11.139999999999851,50122
11.159999999999851,48357
11.17999999999985,51519
11.19999999999985,47838
11.21999999999985,49675
11.23999999999985,50886
11.259999999999849,51332
11.279999999999848,48323
11.299999999999848,50001
11.319999999999848,53667
11.339999999999847,49518
11.359999999999847,52632
11.379999999999846,51772
11.399999999999846,49578
11.419999999999845,50851
11.439999999999845,48871
11.459999999999845,51924
11.479999999999844,50706
11.499999999999844,51588
11.519999999999843,50440
11.539999999999843,50793
11.559999999999842,52962
11.579999999999842,53084
11.599999999999842,50636
11.619999999999841,51371
11.63999999999984,50155
11.65999999999984,49537
11.67999999999984,51326
11.69999999999984,49235
11.719999999999839,51459
11.739999999999839,54077
11.759999999999838,53833
11.779999999999838,49445
11.799999999999837,50355
11.819999999999837,50550
11.839999999999836,50278
11.859999999999836,51505
11.879999999999836,50532
11.899999999999835,52124
11.919999999999835,50218
11.939999999999834,54159
11.959999999999834,50649
11.979999999999833,52477
11.999999999999833,48291
12.019999999999833,51256
12.039999999999832,51431
12.059999999999832,50038
